,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
City of London,2018,E09000001,,,,,,,,,,,,,,,,,,,,,
Croydon,2004,E09000008,334.0,260.0,74.0,15.0,10.0,2.0,,3.0,59.0,2.0,25.0,4.0,2.0,16.0,3.0,32.0,20.0,,1.0,9.0,1.0
Croydon,2005,E09000008,336.0,259.0,77.0,15.0,10.0,2.0,,3.0,62.0,4.0,25.0,4.0,1.0,15.0,4.0,32.0,18.0,,1.0,12.0,
Croydon,2006,E09000008,337.0,255.0,82.0,17.0,9.0,7.0,,,65.0,2.0,26.0,,2.0,20.0,3.0,37.0,23.0,1.0,,11.0,1.0
Croydon,2007,E09000008,341.0,255.0,86.0,23.0,10.0,12.0,,1.0,63.0,2.0,24.0,,2.0,18.0,4.0,37.0,20.0,,1.0,14.0,2.0
Croydon,2008,E09000008,346.0,260.0,86.0,16.0,9.0,4.0,3.0,,70.0,3.0,23.0,3.0,,14.0,6.0,45.0,25.0,,1.0,17.0,2.0
Croydon,2009,E09000008,350.0,247.0,102.0,24.0,16.0,6.0,,,78.0,2.0,21.0,2.0,,15.0,4.0,56.0,34.0,,1.0,20.0,
Croydon,2010,E09000008,355.0,262.0,93.0,22.0,16.0,6.0,,,70.0,,29.0,4.0,2.0,19.0,5.0,41.0,27.0,,,12.0,
Croydon,2011,E09000008,362.0,264.0,98.0,25.0,16.0,7.0,,,73.0,2.0,31.0,3.0,4.0,20.0,4.0,40.0,26.0,,2.0,11.0,
Croydon,2012,E09000008,366.0,270.0,96.0,19.0,15.0,3.0,,,77.0,2.0,31.0,,1.0,25.0,4.0,44.0,30.0,,2.0,11.0,
Croydon,2013,E09000008,370.0,249.0,120.0,32.0,18.0,12.0,2.0,,89.0,3.0,36.0,2.0,,31.0,3.0,49.0,32.0,,,15.0,
Croydon,2014,E09000008,374.0,263.0,111.0,33.0,15.0,13.0,2.0,3.0,78.0,6.0,29.0,2.0,1.0,23.0,3.0,43.0,26.0,2.0,,13.0,1.0
Croydon,2015,E09000008,377.0,265.0,111.0,30.0,15.0,13.0,,1.0,81.0,5.0,27.0,2.0,3.0,21.0,1.0,49.0,24.0,2.0,3.0,19.0,1.0
Croydon,2016,E09000008,382.0,255.0,128.0,32.0,14.0,10.0,7.0,1.0,96.0,5.0,40.0,2.0,4.0,31.0,2.0,51.0,29.0,3.0,2.0,16.0,2.0
Croydon,2017,E09000008,387.0,252.0,135.0,28.0,12.0,13.0,2.0,,107.0,6.0,49.0,2.0,2.0,41.0,4.0,52.0,30.0,2.0,2.0,17.0,2.0
Croydon,2018,E09000008,387.0,262.0,124.0,32.0,11.0,15.0,6.0,,92.0,2.0,35.0,2.0,2.0,30.0,1.0,55.0,33.0,,2.0,16.0,3.0
Ealing,2004,E09000009,307.0,187.0,120.0,20.0,15.0,5.0,,,100.0,2.0,59.0,6.0,6.0,45.0,2.0,39.0,24.0,2.0,2.0,8.0,2.0
Ealing,2005,E09000009,310.0,185.0,125.0,26.0,13.0,12.0,,,100.0,7.0,58.0,9.0,4.0,41.0,4.0,34.0,19.0,,2.0,11.0,2.0
Ealing,2006,E09000009,312.0,183.0,129.0,32.0,21.0,10.0,,,97.0,6.0,51.0,7.0,4.0,38.0,2.0,40.0,24.0,,2.0,12.0,2.0
Ealing,2007,E09000009,316.0,171.0,144.0,36.0,21.0,14.0,,,108.0,4.0,66.0,15.0,4.0,44.0,4.0,38.0,23.0,,4.0,6.0,4.0
Ealing,2008,E09000009,321.0,184.0,135.0,39.0,20.0,17.0,2.0,,97.0,3.0,59.0,17.0,5.0,34.0,4.0,35.0,22.0,2.0,1.0,6.0,3.0
Ealing,2009,E09000009,327.0,182.0,144.0,30.0,16.0,13.0,1.0,,114.0,7.0,60.0,16.0,7.0,35.0,2.0,46.0,28.0,2.0,3.0,9.0,4.0
Ealing,2010,E09000009,331.0,190.0,141.0,33.0,15.0,11.0,4.0,2.0,109.0,8.0,66.0,21.0,8.0,35.0,3.0,35.0,19.0,3.0,4.0,6.0,2.0
Ealing,2011,E09000009,336.0,197.0,139.0,43.0,14.0,24.0,4.0,2.0,96.0,4.0,57.0,15.0,7.0,28.0,7.0,35.0,19.0,4.0,3.0,7.0,3.0
Ealing,2012,E09000009,337.0,179.0,158.0,44.0,15.0,25.0,2.0,1.0,114.0,4.0,76.0,25.0,5.0,42.0,5.0,34.0,18.0,2.0,2.0,10.0,2.0
Ealing,2013,E09000009,340.0,182.0,158.0,35.0,16.0,16.0,,1.0,123.0,3.0,77.0,15.0,6.0,51.0,5.0,43.0,28.0,5.0,,6.0,3.0
Ealing,2014,E09000009,342.0,187.0,156.0,48.0,19.0,26.0,3.0,,108.0,2.0,67.0,14.0,3.0,48.0,3.0,39.0,25.0,2.0,3.0,6.0,3.0
Ealing,2015,E09000009,340.0,178.0,161.0,47.0,16.0,27.0,3.0,,114.0,5.0,71.0,18.0,4.0,46.0,3.0,37.0,17.0,4.0,4.0,6.0,6.0
Ealing,2016,E09000009,346.0,172.0,173.0,56.0,21.0,29.0,3.0,2.0,117.0,5.0,77.0,24.0,5.0,44.0,3.0,36.0,16.0,2.0,2.0,11.0,4.0
Ealing,2017,E09000009,348.0,183.0,165.0,55.0,21.0,29.0,3.0,2.0,111.0,3.0,73.0,13.0,3.0,52.0,5.0,35.0,21.0,2.0,2.0,8.0,2.0
Ealing,2018,E09000009,343.0,200.0,143.0,45.0,21.0,15.0,4.0,4.0,98.0,5.0,63.0,13.0,4.0,44.0,2.0,30.0,17.0,5.0,,5.0,2.0
Enfield,2004,E09000010,280.0,204.0,75.0,27.0,9.0,3.0,,14.0,48.0,11.0,13.0,,2.0,9.0,1.0,25.0,14.0,,,9.0,
Enfield,2005,E09000010,282.0,203.0,79.0,22.0,9.0,1.0,,11.0,57.0,12.0,15.0,4.0,2.0,8.0,1.0,30.0,15.0,,,14.0,
Enfield,2006,E09000010,284.0,198.0,86.0,24.0,10.0,4.0,,9.0,62.0,12.0,19.0,2.0,1.0,15.0,,31.0,20.0,1.0,,9.0,
Enfield,2007,E09000010,289.0,196.0,94.0,26.0,11.0,5.0,2.0,8.0,67.0,18.0,16.0,1.0,1.0,13.0,,33.0,24.0,2.0,1.0,7.0,
Enfield,2008,E09000010,295.0,192.0,102.0,29.0,13.0,6.0,3.0,7.0,73.0,20.0,17.0,3.0,1.0,11.0,2.0,36.0,26.0,,,9.0,
Enfield,2009,E09000010,300.0,196.0,103.0,25.0,10.0,7.0,2.0,6.0,77.0,20.0,22.0,3.0,3.0,15.0,2.0,35.0,24.0,1.0,,8.0,1.0
Enfield,2010,E09000010,305.0,207.0,97.0,25.0,10.0,6.0,,8.0,72.0,21.0,13.0,3.0,1.0,8.0,1.0,39.0,26.0,,1.0,10.0,2.0
Enfield,2011,E09000010,312.0,203.0,109.0,32.0,12.0,10.0,1.0,8.0,77.0,17.0,21.0,4.0,2.0,12.0,3.0,39.0,28.0,,,9.0,1.0
Enfield,2012,E09000010,315.0,215.0,100.0,30.0,10.0,8.0,5.0,7.0,70.0,19.0,18.0,4.0,,11.0,2.0,34.0,23.0,1.0,,9.0,1.0
Enfield,2013,E09000010,319.0,216.0,103.0,29.0,10.0,8.0,7.0,5.0,74.0,22.0,18.0,2.0,2.0,14.0,,34.0,26.0,1.0,,6.0,1.0
Enfield,2014,E09000010,323.0,217.0,106.0,27.0,10.0,8.0,3.0,6.0,79.0,19.0,20.0,3.0,,14.0,2.0,40.0,30.0,,,9.0,
