Borough,Year,"Decisions made during the year per 1,000 households","Households accommodated by the authority on 31 March per 1,000 households"
Tower Hamlets,2015,4.55,17.19
Tower Hamlets,2016,3.61,16.98
Tower Hamlets,2017,3.4,17.11
Waltham Forest,2004,8.333333333333334,18.822916666666668
Waltham Forest,2005,8.010416666666666,20.40625
Waltham Forest,2006,7.648351648351649,21.153846153846153
Waltham Forest,2007,5.223897115789008,21.21654824357527
Waltham Forest,2008,4.565364248512715,18.915208437751964
Waltham Forest,2009,3.108695652173913,13.478260869565217
Waltham Forest,2010,3.4175824175824174,12.098901098901099
Waltham Forest,2011,6.59,14.36
Waltham Forest,2012,10.66,13.52
Waltham Forest,2013,8.014433955681376,14.643287911562117
Waltham Forest,2014,10.317982348494517,19.536427091821206
Waltham Forest,2015,10.5,21.07
Waltham Forest,2016,7.74,21.71
Waltham Forest,2017,5.45,20.77
Wandsworth,2004,6.461538461538462,12.253846153846155
Wandsworth,2005,5.230769230769231,10.423076923076923
Wandsworth,2006,4.827868852459017,9.51639344262295
Wandsworth,2007,4.199284137782811,7.770328916369769
Wandsworth,2008,4.668780831571529,5.982125696713434
Wandsworth,2009,3.408,3.392
Wandsworth,2010,4.0396825396825395,3.373015873015873
Wandsworth,2011,4.69,3.9
Wandsworth,2012,4.98,4.47
Wandsworth,2013,5.469193237263134,5.854986951094974
Wandsworth,2014,5.896677031431461,7.590004870190686
Wandsworth,2015,6.34,9.22
Wandsworth,2016,5.82,10.87
Wandsworth,2017,5.93,12.7
Westminster,2004,10.018018018018019,28.36036036036036
Westminster,2005,8.73873873873874,27.98198198198198
Westminster,2006,5.963963963963964,27.144144144144143
Westminster,2007,..,26.76274283157463
Westminster,2008,4.135079255685734,22.159783703546626
Westminster,2009,3.5486725663716814,18.061946902654867
Westminster,2010,3.8583333333333334,14.375
Westminster,2011,4.67,15.97
Westminster,2012,7.47,22.69
Westminster,2013,6.581789768810038,20.986349220940387
Westminster,2014,5.837441330537172,21.76103712176921
Westminster,2015,4.85,21.74
Westminster,2016,4.47,20.97
Westminster,2017,3.73,20.73
