Year,Borough,IP,Volume
1996-01-01,Camden,15.53289794,193
1996-01-01,City of London,13.90880371,17
1996-01-01,Croydon,23.54624245,382
1996-01-01,EAST MIDLANDS,29.03550101,3927
1996-01-01,EAST OF ENGLAND,24.10818322,5931
1996-01-01,Ealing,19.45138261,281
1996-01-01,Enfield,22.63580809,324
1996-01-01,England,25.79827227,48694
1996-01-01,Greenwich,19.66133819,154
1996-01-01,Hackney,14.13051373,131
1996-01-01,Hammersmith & Fulham,17.32932508,205
1996-01-01,Haringey,17.91394926,225
1996-01-01,Harrow,21.2988817,240
1996-01-01,Havering,24.25016949,236
1996-01-01,Hillingdon,22.04089176,300
1996-01-01,Hounslow,21.89437464,226
1996-01-01,Inner London,15.58889324,2887
1996-01-01,Islington,14.50641113,128
1996-01-01,Kensington & Chelsea,15.09962015,257
1996-01-01,Kingston upon Thames,19.33952318,174
1996-01-01,LONDON,18.70234592,7690
1996-01-01,Lambeth,15.58803909,234
1996-01-01,Lewisham,16.99389781,250
1996-01-01,Merton,19.14757493,214
1996-01-01,NORTH EAST,34.81689433,2020
1996-01-01,NORTH WEST,31.31348264,5585
1996-01-01,Newham,19.55024771,226
1996-01-01,Outer London,20.87696669,4803
1996-01-01,Redbridge,22.41531722,311
1996-01-01,Richmond upon Thames,18.74038374,230
1996-01-01,SOUTH EAST,24.18637004,9177
1996-01-01,SOUTH WEST,25.0722358,5537
1996-01-01,Southwark,14.70345159,188
1996-01-01,Sutton,22.77100541,216
1996-01-01,Tower Hamlets,16.58812745,114
1996-01-01,WEST MIDLANDS,30.21871422,4473
1996-01-01,Waltham Forest,18.32210236,251
1996-01-01,Wandsworth,16.08619446,384
1996-01-01,Westminster,13.70432266,335
1996-01-01,YORKS & THE HUMBER,31.91675433,4354
1996-02-01,Barking & Dagenham,23.37470384,154
1996-02-01,Barnet,20.03316676,358
1996-02-01,Bexley,24.64310955,228
1996-02-01,Brent,17.27984157,209
1996-02-01,Bromley,21.83647235,375
1996-02-01,Camden,16.02792121,181
1996-02-01,City of London,11.91280855,10
1996-02-01,Croydon,23.55523981,358
1996-02-01,EAST MIDLANDS,28.96234035,4278
1996-02-01,EAST OF ENGLAND,24.23185438,6407
1996-02-01,Ealing,19.60225089,291
1996-02-01,Enfield,22.4858435,334
1996-02-01,England,25.8980259,51401
1996-02-01,Greenwich,19.43973747,180
1996-02-01,Hackney,14.2713253,132
1996-02-01,Hammersmith & Fulham,17.6774102,191
1996-02-01,Haringey,18.22005268,248
1996-02-01,Harrow,21.43934661,228
1996-02-01,Havering,24.75506361,211
1996-02-01,Hillingdon,22.61846238,266
1996-02-01,Hounslow,21.8064586,256
1996-02-01,Inner London,15.84435121,2761
1996-02-01,Islington,14.59144103,129
1996-02-01,Kensington & Chelsea,14.91975402,220
1996-02-01,Kingston upon Thames,19.76200009,190
1996-02-01,LONDON,18.88720824,7608
1996-02-01,Lambeth,16.38722673,227
1996-02-01,Lewisham,17.12188305,242
1996-02-01,Merton,18.9552793,222
1996-02-01,NORTH EAST,34.75925848,2113
1996-02-01,NORTH WEST,31.66731917,6127
1996-02-01,Newham,19.81695951,216
1996-02-01,Outer London,20.97222244,4847
1996-02-01,Redbridge,22.62289115,276
1996-02-01,Richmond upon Thames,19.04161229,226
1996-02-01,SOUTH EAST,24.0779772,9578
1996-02-01,SOUTH WEST,25.01682882,5676
1996-02-01,Southwark,15.17821147,194
1996-02-01,Sutton,22.53022627,279
1996-02-01,Tower Hamlets,17.45210905,168
1996-02-01,WEST MIDLANDS,30.65620682,4907
1996-02-01,Waltham Forest,18.1832923,206
1996-02-01,Wandsworth,16.08675317,367
1996-02-01,Westminster,13.94866374,236
1996-02-01,YORKS & THE HUMBER,32.17683074,4707
1996-03-01,Barking & Dagenham,23.58660293,152
1996-03-01,Barnet,19.81215508,454
1996-03-01,Bexley,24.75173427,283
1996-03-01,Brent,17.20789593,335
1996-03-01,Bromley,21.89409184,447
